City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Kaka,TM,2020-10-03 21:22:32,37.35,59.61,52.99,40,0,1.3
103,Pohrebyshche,UA,2020-10-03 21:22:32,49.49,29.26,60.69,78,100,12.93
104,Cherskiy,RU,2020-10-03 21:22:32,68.75,161.3,27.57,95,15,4.7
105,Longyearbyen,SJ,2020-10-03 21:20:09,78.22,15.64,32.0,86,75,4.7
106,Pacifica,US,2020-10-03 21:21:10,37.61,-122.49,78.01,61,20,4.7
107,Bambous Virieux,MU,2020-10-03 21:22:33,-20.34,57.76,71.6,88,40,1.12
108,Sinegorye,RU,2020-10-03 21:22:33,62.08,150.48,31.46,86,41,1.34
109,Pozo Colorado,PY,2020-10-03 21:22:33,-23.49,-58.8,87.22,36,0,9.84
110,Ubinskoye,RU,2020-10-03 21:22:33,55.31,79.68,45.19,78,79,13.31
111,Taylor,US,2020-10-03 21:22:33,32.3,-99.83,88.0,28,1,9.17
112,Aguada De Pasajeros,CU,2020-10-03 21:22:33,22.39,-80.85,87.28,67,60,6.71
113,Upernavik,GL,2020-10-03 21:18:05,72.79,-56.15,32.41,91,77,11.52
114,Labuhan,ID,2020-10-03 21:22:34,-6.88,112.21,78.46,80,49,9.22
115,Nikolskoye,RU,2020-10-03 21:22:34,59.7,30.79,57.99,71,100,6.71
116,Manali,IN,2020-10-03 21:22:34,13.17,80.27,82.4,78,40,6.93
117,Khartoum,SD,2020-10-03 21:17:44,15.55,32.53,86.0,51,5,16.11
118,Mahebourg,MU,2020-10-03 21:22:34,-20.41,57.7,71.6,88,40,1.12
119,Healesville,AU,2020-10-03 21:21:28,-37.65,145.52,61.0,74,71,5.39
120,Port Elizabeth,ZA,2020-10-03 21:22:34,-33.92,25.57,60.8,93,92,13.87
121,Ribeira Grande,PT,2020-10-03 21:22:34,38.52,-28.7,69.8,83,75,3.36
122,Valentigney,FR,2020-10-03 21:22:34,47.46,6.83,48.99,81,75,21.92
123,Shingu,JP,2020-10-03 21:22:34,33.73,135.98,66.54,89,98,3.85
124,Kamenka,RU,2020-10-03 21:22:35,51.32,42.77,52.72,56,100,6.76
125,Sault Sainte Marie,CA,2020-10-03 21:22:35,46.52,-84.33,46.4,65,90,5.82
126,Dzaoudzi,YT,2020-10-03 21:22:35,-12.79,45.27,78.8,78,20,3.36
127,Tazovskiy,RU,2020-10-03 21:22:35,67.47,78.7,31.1,96,19,22.03
128,Prince Albert,CA,2020-10-03 21:22:35,53.2,-105.77,53.6,54,75,6.93
129,Gat,IL,2020-10-03 21:22:35,31.61,34.76,73.99,72,0,1.95
130,Kikwit,CD,2020-10-03 21:22:35,-5.04,18.82,75.07,83,50,1.72
131,Ixtapa,MX,2020-10-03 21:22:35,20.7,-105.2,90.0,49,5,9.17
132,Yellowknife,CA,2020-10-03 21:22:35,62.46,-114.35,50.0,76,75,20.8
133,Maragogi,BR,2020-10-03 21:22:36,-9.01,-35.22,75.58,80,100,8.61
134,San Rafael,AR,2020-10-03 21:19:24,-34.62,-68.33,45.16,75,99,14.65
135,Ukiah,US,2020-10-03 21:17:46,39.15,-123.21,98.6,8,1,13.87
136,Tasiilaq,GL,2020-10-03 21:22:36,65.61,-37.64,30.2,86,0,4.18
137,Bassar,TG,2020-10-03 21:22:36,9.25,0.78,73.4,100,75,9.17
138,Fortuna,US,2020-10-03 21:22:36,40.6,-124.16,62.6,88,90,16.11
139,Kavieng,PG,2020-10-03 21:22:36,-2.57,150.8,83.26,76,100,13.51
140,Guerrero Negro,MX,2020-10-03 21:20:17,27.98,-114.06,90.63,25,0,12.48
141,Erzin,TR,2020-10-03 21:22:37,36.96,36.2,77.0,75,0,1.45
142,Vaini,TO,2020-10-03 21:22:37,-21.2,-175.2,73.4,94,90,11.41
143,Iqaluit,CA,2020-10-03 21:22:37,63.75,-68.51,32.0,95,90,3.36
144,Koslan,RU,2020-10-03 21:22:37,63.46,48.9,32.5,93,3,2.35
145,La Ronge,CA,2020-10-03 21:22:37,55.1,-105.28,55.4,47,75,13.87
146,Caravelas,BR,2020-10-03 21:22:37,-17.71,-39.25,75.34,81,29,10.18
147,Yatou,CN,2020-10-03 21:22:37,37.15,122.38,57.18,75,15,5.68
148,Codrington,AU,2020-10-03 21:22:37,-38.27,141.97,56.55,92,100,2.98
149,Dogondoutchi,NE,2020-10-03 21:22:38,13.64,4.03,83.7,47,100,7.14
150,Hithadhoo,MV,2020-10-03 21:21:06,-0.6,73.08,83.34,73,100,11.05
151,Melita,CA,2020-10-03 21:22:38,49.27,-101.0,53.01,37,54,4.0
152,Cedar City,US,2020-10-03 21:20:11,37.68,-113.06,80.6,5,1,5.82
153,Dong Hoi,VN,2020-10-03 21:22:38,17.48,106.6,78.93,84,100,3.44
154,Chauk,MM,2020-10-03 21:22:38,20.88,94.82,79.18,84,98,9.37
155,Yar-Sale,RU,2020-10-03 21:22:31,66.83,70.83,32.32,92,72,17.67
156,Nedryhayliv,UA,2020-10-03 21:22:38,50.83,33.88,55.96,58,92,10.6
157,Surgut,RU,2020-10-03 21:22:38,61.25,73.42,35.6,69,40,15.66
158,Synya,RU,2020-10-03 21:22:39,65.37,58.04,30.06,98,0,3.6
159,Chuy,UY,2020-10-03 21:22:39,-33.7,-53.46,52.32,74,63,11.77
160,Arona,ES,2020-10-03 21:22:39,28.1,-16.68,73.99,78,75,3.44
161,Mildura,AU,2020-10-03 21:22:39,-34.2,142.15,77.0,25,27,14.99
162,Isangel,VU,2020-10-03 21:22:39,-19.55,169.27,77.0,73,75,9.17
163,Sao Gabriel Da Cachoeira,BR,2020-10-03 21:22:39,-0.13,-67.09,84.02,73,85,0.25
164,Troitsko-Pechorsk,RU,2020-10-03 21:22:39,62.71,56.2,30.58,96,0,4.99
165,Algiers,DZ,2020-10-03 21:18:03,36.75,3.04,59.0,77,20,8.25
166,Parana,AR,2020-10-03 21:22:40,-31.73,-60.52,51.57,56,100,14.43
167,Kaitangata,NZ,2020-10-03 21:22:40,-46.28,169.85,52.0,75,100,10.0
168,Brighton,GB,2020-10-03 21:21:51,50.83,-0.14,54.0,86,100,3.0
169,Lavrentiya,RU,2020-10-03 21:19:39,65.58,-171.0,38.37,76,95,16.26
170,Phichit,TH,2020-10-03 21:22:40,16.25,100.42,75.96,90,100,2.86
171,Maldonado,UY,2020-10-03 21:22:40,-34.67,-54.92,48.2,61,40,16.11
172,Albanel,CA,2020-10-03 21:18:56,48.88,-72.45,46.4,45,75,3.36
173,Nuuk,GL,2020-10-03 21:22:41,64.18,-51.72,33.8,69,20,6.93
174,Nanortalik,GL,2020-10-03 21:22:41,60.14,-45.24,35.56,86,88,10.78
175,Muktsar,IN,2020-10-03 21:22:41,30.48,74.52,72.99,23,0,1.7
176,Los Llanos De Aridane,ES,2020-10-03 21:22:41,28.66,-17.92,73.4,83,15,16.11
177,Port Augusta,AU,2020-10-03 21:22:41,-32.5,137.77,64.4,72,40,4.7
178,Bilma,NE,2020-10-03 21:22:41,18.69,12.92,90.91,14,0,4.94
179,Kousseri,CM,2020-10-03 21:22:41,12.08,15.03,80.6,83,2,1.12
180,Lompoc,US,2020-10-03 21:22:42,34.64,-120.46,87.8,53,1,12.75
181,Dingli,MT,2020-10-03 21:22:42,35.86,14.38,86.0,51,100,13.87
182,Verkhnevilyuysk,RU,2020-10-03 21:22:42,63.45,120.32,28.58,94,95,7.45
183,Vallenar,CL,2020-10-03 21:22:42,-28.57,-70.76,74.79,19,84,7.2
184,Yenagoa,NG,2020-10-03 21:22:42,4.92,6.26,75.78,94,100,3.67
185,Lorengau,PG,2020-10-03 21:22:42,-2.02,147.27,82.74,73,32,9.75
186,Hare Bay,CA,2020-10-03 21:22:42,48.85,-54.01,64.0,67,75,13.87
187,Zhicheng,CN,2020-10-03 21:22:43,30.3,111.5,62.01,97,100,2.71
188,Gasa,PS,2020-10-03 21:22:43,31.5,34.47,75.2,64,40,5.82
189,Vostok,RU,2020-10-03 21:22:43,46.49,135.88,36.05,99,2,5.99
190,Bhadrapur,NP,2020-10-03 21:19:30,26.54,88.09,78.42,87,100,2.64
191,Stykkisholmur,IS,2020-10-03 21:22:43,65.08,-22.73,42.49,82,100,9.57
192,Buchen,DE,2020-10-03 21:22:43,49.52,9.32,45.0,95,0,6.31
193,Gizo,SB,2020-10-03 21:22:43,-8.1,156.84,81.01,71,2,8.7
194,Vila,PT,2020-10-03 21:22:43,42.03,-8.16,50.0,93,87,1.01
195,Itaituba,BR,2020-10-03 21:22:44,-4.28,-55.98,95.72,36,61,0.94
196,Amsterdam,NL,2020-10-03 21:22:44,52.37,4.89,51.01,93,66,10.29
197,Logansport,US,2020-10-03 21:22:44,40.75,-86.36,60.8,38,90,9.17
198,Northam,GB,2020-10-03 21:22:44,51.03,-4.22,54.0,84,100,8.01
